Series_Title,Released_Year,Keywords,date_details,Certificate
Jagten,2012,"['pedophilia', 'denmark', 'parent child relationship', 'lie', 'father', 'kindergarten', 'teacher', 'tragedy', 'school', 'pedophile', 'bloody fight', 'divorce', 'hunting', 'pond', 'dead dog', 'grocery store', 'christmas', 'nude swimming', 'psychological drama', 'drama']",2012-05-20,R
Jodaeiye Nader az Simin,2011,"['emigration', 'class', ""alzheimer's disease"", 'teheran (tehran), iran', 'money', 'maid', 'divorce', 'iran', 'caregiver', 'marital separation', 'family argument', 'wistful']",2011-02-01,PG-13
Incendies,2010,"['prison', 'rape', 'middle east', 'muslim', 'militia', 'orphanage', 'son', 'interpreter', 'swimming pool', 'massacre', 'checkpoint', 'political assassination', 'twins', 'incest', 'will', 'shocking', 'domineering', 'mother son incest', 'incest rape']",2010-09-03,R
Miracle in cell NO.7,2019,"['parent child relationship', 'prison cell', 'remake', 'wrongful imprisonment', 'based on movie', 'mentally challenged']",2019-10-10,15
Babam ve Oglum,2005,"['son', 'father', 'family drama', 'fiul', 'tatăl', 'meu']",2005-11-18,
Inglourious Basterds,2009,"['guerrilla warfare', 'swastika', 'paris, france', 'nazi', 'self sacrifice', 'sadism', 'dynamite', 'mexican standoff', 'world war ii', 'jew persecution', 'masochism', 'antisemitism', 'german occupation of france', 'british politics', 'revisionist history', 'candid', 'adolf hitler', 'dubious']",2009-05-20,R
Eternal Sunshine of the Spotless Mind,2004,"['new york city', 'regret', 'jealousy', 'deja vu', 'amnesia', 'dreams', 'operation', 'relationship problems', 'love', 'memory', 'brainwashing', 'relationship', 'heartbreak', 'nonlinear timeline', '2000s', 'memory manipulation']",2004-03-09,R
Amélie,2001,"['daughter', 'paris, france', 'love triangle', 'photography', 'ghost train', 'sex shop', 'shyness', 'journey around the world', 'postcard', 'romcom', 'hypochondriac', 'romance', 'cafe', 'kindness', 'magic realism', ""child's point of view"", 'montmartre, paris', 'neighbor neighbor relationship', 'father daughter relationship', 'happy ending', 'childhood memory']",2001-04-25,R
Snatch,2000,"['robbery', 'trailer park', 'england', 'gypsy', 'gambling', 'bare knuckle boxing', 'slang', 'antwerp', 'pig', 'gangster', 'boxer', 'underground fighting', 'blunt', 'diamond heist', 'candid', 'pikey', 'mischievous', 'absurd', 'hilarious', 'antagonistic', 'exuberant']",2000-08-23,R
Requiem for a Dream,2000,"['drug dealer', 'corruption', 'drug abuse', 'unsociability', 'degradation', 'insanity', 'heroin', 'drug addiction', 'junkie', 'hallucination', 'speed', 'diet', 'orderly', 'surrealism', 'illusion', 'fondling', 'drug use', 'grief', 'drug pusher', 'marijuana', 'chain gang', 'postmodern', 'drug trade', 'psychiatrist', 'drugged', 'illegal prostitution', 'gay parent', 'subculture', 'bitterness', 'hatred', 'industrial music', 'force feeding', 'decadence', 'marijuana joint', 'boyfriend girlfriend relationship', 'heroin addict', 'prescription drug abuse', 'eating disorder', 'heroin addiction', 'voyeurism', 'brunette', 'sign languages', 'shock', 'narcotics', 'hospitalization', 'incarceration', 'gay theme', 'lesbian', 'cautionary tale', 'methamphetamine', 'drug addict', 'moral corruption', 'psychological drama', 'split screen', 'dramatic']",2000-05-14,NR
American Beauty,1999,"['estate agent', 'adultery', 'coming out', 'first time', 'virgin', 'cheating', 'parent child relationship', 'age difference', 'midlife crisis', 'cheerleader', 'dark comedy', 'rose', 'satire', 'dysfunctional family', 'suburbia', 'coming of age', 'sexual fantasy', 'dysfunctional marriage', 'marijuana', 'loneliness', 'love affair', 'biting', 'exercise', 'extramarital affair', 'realtor', 'voyeurism', 'quitting a job', 'neighborhood', 'retired army man', 'closeted homosexual', 'singing in a car', 'gay theme', 'existential', 'teenager', 'camcorder']",1999-09-08,R
Good Will Hunting,1997,"['boston, massachusetts', 'mathematics', 'genius', 'male friendship', 'flashback', 'psychologist', 'janitor', 'dating', 'courtroom', 'group of friends', 'southie', 'college professor', 'prodigy', 'math genius', 'foster kid', 'fear of change', 'abused as a child', 'massachusetts institute of technology (mit)', 'math professor']",1997-12-02,R
Bacheha-Ye aseman,1997,"['sibling relationship', 'class', 'foot race', 'anxious', 'suspenseful', 'gentle']",1997-08-01,PG
Toy Story,1995,"['rescue', 'friendship', 'mission', 'jealousy', 'villain', 'bullying', 'elementary school', 'rivalry', 'anthropomorphism', 'friends', 'computer animation', 'buddy', 'walkie talkie', 'toy car', 'boy next door', 'new toy', 'neighborhood', 'toy comes to life', 'resourcefulness', 'toy', 'pixar']",1995-11-19,G
Braveheart,1995,"['epic', 'england', 'scotland', 'loss of loved one', 'idealism', 'based on true story', 'medieval', 'war', 'grand', 'intense']",1995-05-18,R
Reservoir Dogs,1992,"['escape', 'jewelry', 'psychopath', 'traitor', 'ear', 'heist', 'thief', 'betrayal', 'plan gone wrong', 'gang', 'nonlinear timeline', 'warehouse', 'told in flashback', 'heist gone wrong', 'botched robbery', 'foreshadowing', 'rendezvous', 'iconic', 'uneasy alliance', 'rag tag group', 'based on short']",1992-01-21,R
Full Metal Jacket,1987,"['rescue', 'sniper', 'vietnam war', 'suicide', 'vietnam', 'helicopter', 'army', 'prostitute', 'based on novel or book', 'propaganda', 'war correspondent', 'journalism', 'recruit', 'infantry', 'war photographer', 'boot camp', 'jungle', 'sergeant', 'racism', 'genocide', 'fighting', 'platoon', 'combat', 'discipline', 'u.s. marine', 'obstacle course', 'military', 'anti war', 'mass grave', 'blanket party', 'soldiers', 'cautionary', 'war', 'provocative', 'critical', 'tense', 'audacious', 'bold', 'disapproving', 'frustrated', 'scathing']",1987-06-17,R
Idi i smotri,1985,"['nazi', 'war crimes', 'insanity', 'world war ii', 'surrealism', 'wehrmacht', 'teenage girl', 'atrocity', 'genocide', 'russian army', 'mine field', 'horrors of war', 'premature aging', 'byelorussia', 'children in wartime']",1985-07-09,NR
Aliens,1986,"['android', 'space marine', 'extraterrestrial technology', 'spaceman', 'space travel', 'settler', 'colony', 'cryogenics', 'vacuum', 'space colony', 'warrior woman', 'alien', 'space', 'female protagonist', 'creature', 'desolate', 'female hero', 'aggressive', 'desolate planet', 'critical', 'hilarious', 'sinister', 'admiring', 'assertive', 'commanding', 'empathetic', 'exhilarated', 'optimistic', 'powerful']",1986-07-14,R
Amadeus,1984,"['opera', 'composer', 'musician', 'marriage crisis', 'italy', 'talent', 'emperor', 'austria', 'based on play or musical', 'mozart', 'god', 'murder', 'vienna, austria', 'envy', '18th century', 'prodigy', 'adoring']",1984-09-06,PG
Scarface,1983,"['corruption', 'sibling relationship', 'miami, florida', 'cuba', 'loss of loved one', 'gangster', 'cocaine', 'rise and fall', 'remake', 'drug cartel', 'mafia', 'drug lord', 'cynical', 'bitterness', 'rise to power', 'paranoid', 'aggressive', 'miami beach', 'cuban refugees', 'drug war', 'intense', 'tragic']",1983-12-01,R
Star Wars: Episode VI - Return of the Jedi,1983,"['spacecraft', 'sibling relationship', 'rebel', 'emperor', 'space battle', 'matter of life and death', 'forest', 'desert', 'space opera', 'amused', 'excited', 'star wars']",1983-05-23,PG
Das Boot,1981,"['based on novel or book', 'submarine', 'war correspondent', 'atlantic ocean', 'gibraltar', 'world war ii', 'duty', 'suicide mission', 'drinking', 'sailor', 'convoy', 'destroyer', 'naval warfare', 'naval battle', 'battle of the atlantic', 'german u-boat fleet', 'confined spaces']",1981-09-17,R
Taxi Driver,1976,"['drug dealer', 'vietnam veteran', 'new york city', 'taxi', 'pornography', 'obsession', 'taxi driver', 'pimp', 'firearm', 'politician', 'alienation', 'junk food', 'misanthrophy', 'vigilante', 'cynical', 'illegal prostitution', 'character study', 'loner', 'manhattan, new york city', 'meditative', 'neo-noir', 'child prostitution', 'complex', 'new hollywood', 'dreary', 'cautionary', 'drives', 'provocative', 'antagonistic', 'audacious', 'callous']",1976-02-08,R
The Sting,1973,"['bet', 'chicago, illinois', 'repayment', 'horse race', 'con man', 'mafia boss', 'heist', 'caper', 'ragtime', 'off track betting', 'sting operation', 'alley', '1930s', 'mischievous', 'cautionary']",1973-12-25,PG
A Clockwork Orange,1971,"['london, england', 'robbery', 'street gang', 'great britain', 'based on novel or book', 'nihilism', 'parent child relationship', 'society', 'sexuality', 'social worker', 'psychopath', 'dystopia', 'dark comedy', 'satire', 'beating', 'juvenile delinquent', 'home invasion', 'sex crime', 'speculative', 'futuristic society', 'philosophical', 'ultraviolence', 'social decay', 'dreary', 'cautionary', 'critical', 'tense', 'intense', 'audacious', 'mean spirited']",1971-12-19,NC-17
2001: A Space Odyssey,1968,"['man vs machine', 'moon', 'jupiter', 'artificial intelligence (a.i.)', 'based on novel or book', 'technology', 'super computer', 'space travel', 'space mission', 'moon base', 'astronaut', 'evolution', 'monolith', 'space station', 'space opera', 'philosophical', 'complex', '2000s', 'dreary', 'ai rebellion', 'tense', 'audacious', 'baffled', 'excited']",1968-04-02,G
Per qualche dollaro in più,1965,"['bounty hunter', 'pot smoking', 'rural area', 'spaghetti western', 'right hand man', 'piano']",1965-12-18,R
Lawrence of Arabia,1962,"['epic', 'cairo', 'world war i', 'arabian', 'horse', 'jerusalem', 'british army', 'british empire', 'damascus', 'camel', 'based on true story', 'historical fiction', 'quicksand', 'desert', 'arab', 'thoughtful', 'ottoman empire', 'provocative']",1962-12-10,PG
The Apartment,1960,"[""new year's eve"", 'new york city', 'lovesickness', 'clerk', 'winter', 'age difference', 'suicide attempt', 'office', 'flat', 'spaghetti', 'tennis racket', 'romcom', 'black and white', 'love affair', 'extramarital affair', 'quitting a job', 'christmas', 'apartment']",1960-06-15,PG
North by Northwest,1959,"['new york city', 'assassination', 'undercover agent', 'espionage', 'spy', 'cold war', 'mistaken identity', 'deception', 'romance', 'fugitive', 'on the run', 'advertising', 'framed', 'on the road', 'government agent', 'road movie', 'framed for murder', 'trains', 'cold war era', 'mount rushmore', 'absurd', 'adventure', 'man on the run', 'couple on the run', 'moral relativism', 'awestruck', 'cliché']",1959-07-01,PG
Vertigo,1958,"['plan', ""love of one's life"", 'sense of guilt', 'san francisco, california', 'suicide attempt', 'obsession', 'bachelor', 'detective', 'necklace', 'vertigo', 'museum', 'painting', 'melancholy', 'insurance fraud', 'film noir', 'golden gate bridge', 'psychological thriller', 'rescue from drowning', 'neo-noir', 'fear of heights', 'color film noir']",1958-05-09,PG
Singin' in the Rain,1952,"['fan', 'musical', 'partner', 'film in film', 'hollywood', 'broadway', 'dancing in the street', 'burlesque', 'audience', 'chorus girl', 'diction coach', 'pearl necklace', 'flapper', 'silent film star', 'squeaky voice', 'christmas', '1920s', 'old hollywood', 'provocative', 'sentimental', 'amused', 'exuberant']",1952-03-27,G
Ikiru,1952,"['dying and death', 'japan', 'bureaucracy', 'age difference', 'praise', 'office', 'night life', 'sense of life', 'playground', 'obsequies', 'swing', 'loneliness', 'office politics', 'black and white', 'infatuation', 'wake', 'public works', 'bureaucrat', 'thoughts of retirement', 'terminal cancer', 'city park', 'civil servant', 'monotonous life', 'accomplishments', 'office gossip', 'vizinho', 'burocracia', 'terceira idade']",1952-10-09,NR
Ladri di biciclette,1948,"['rome, italy', 'italian', 'society', 'riding a bicycle', 'search', 'poster', 'thief', 'black and white', 'stolen bicycle', 'madame', 'unemployment', 'realism', 'neo realism', 'italian neo realism']",1948-07-21,NR
Double Indemnity,1944,"['insurance fraud', 'femme fatale', 'film noir', 'murder', 'life insurance', 'black and white', 'insurance agent', 'insurance policy', 'duplicity', 'murder plot', 'scheming wife']",1944-06-14,NR
Citizen Kane,1941,"['media tycoon', 'florida', 'art collector', 'newspaper', 'capitalist', 'journalist', 'sleigh', 'banker', 'american dream', 'failure', 'money', 'black and white', 'told in flashback', 'snowglobes', 'kids', 'serious', 'based on real person']",1941-04-17,NR
M - Eine Stadt sucht einen Mörder,1931,"['berlin, germany', 'germany', 'psychopath', 'detective inspector', 'child murder', 'investigation', 'organized crime', 'serial killer', 'black and white', 'criminal', 'pre-code', 'psycho', 'expressionism', 'german expressionism', 'crime']",1931-05-11,PG-13
Metropolis,1927,"['future', 'metropolis', 'class society', 'man vs machine', 'underground world', 'tower of babel', 'based on novel or book', 'inventor', 'dystopia', 'delirium', 'mad scientist', 'prophet', 'steampunk', 'grim reaper', 'black and white', 'robot', 'destruction', 'silent film', 'nostalgic', 'expressionism', 'seven deadly sins', 'depravity', 'mob justice', 'downtrodden', 'saviour', 'social unrest', 'german expressionism', 'mediator', 'cautionary', 'dramatic', 'suspenseful']",1927-01-10,NR
The Kid,1921,"['angel', 'suicide attempt', 'fistfight', 'slapstick comedy', 'black and white', 'class differences', 'foundling', 'silent film', 'dream sequence', 'semi autobiographical', 'car theft', 'illegitimate child', 'unwed mother', 'abandoned baby', 'out of wedlock child']",1921-01-16,U
Chhichhore,2019,"['friendship', 'college', 'hostel life']",2019-09-05,G
Uri: The Surgical Strike,2018,,,
K.G.F: Chapter 1,2018,"['gold', 'undercover', 'gold mine', 'one man army', 'action hero', 'period film']",2018-12-20,PG-13
Green Book,2018,"['friendship', 'southern usa', 'road trip', 'racism', 'pianist', 'driver', 'lgbt', 'road movie', 'music tour', '1960s', 'roadtrip', 'gay theme', 'feel good', 'wry']",2018-09-11,PG-13
"Three Billboards Outside Ebbing, Missouri",2017,"['small town', 'suicide', 'police brutality', 'rape', 'missouri', 'dark comedy', 'alcoholism', 'murder', 'arson', 'cancer', 'teenage girl', 'police corruption', 'racism', 'anger', 'billboard', 'guilty conscience', 'molotov cocktail', 'pool hall']",2017-09-04,R
Talvar,2015,"['murder investigation', 'woman director', 'honor killing']",2015-10-02,
Baahubali 2: The Conclusion,2017,"['kingdom', 'bilingual']",2017-04-27,NR
Klaus,2019,"['friendship', 'small town', 'island', 'holiday', 'santa claus', 'cartoon', 'letter', 'postman', 'reindeer', 'toy maker', 'christmas', '19th century', 'toymaker', 'origin story', 'good versus evil', 'adoring', 'amused', 'cheerful', 'excited']",2019-11-02,PG
Drishyam,2015,"['police', 'blackmail', 'hidden camera', 'remake', 'murder', 'family', 'phone', 'based on movie', 'false evidence']",2015-07-30,R
Queen,2013,"['dancing', 'friendship', 'paris, france', 'self-discovery', 'roommates', 'canceled wedding']",2013-09-01,
Mandariinid,2013,"['gun', 'audio tape', 'head wound', 'georgia europe', 'photograph', 'bullet wound', 'house fire', 'carpenter', 'wood chopping', 'audio cassette', '1990s', 'tangerine']",2013-10-16,PG-13
Bhaag Milkha Bhaag,2013,"['fight', 'knife', 'biography', 'past', 'sister', 'love', 'jail', 'slaughter', 'family', 'sports documentary', 'athlete']",2013-07-12,12
Gangs of Wasseypur,2012,"['mafia', 'gang', 'coal mining']",2012-05-22,15
Udaan,2010,['coming of age'],2010-06-17,R
Paan Singh Tomar,2012,"['army', 'sports', 'rebel']",2012-03-02,
El secreto de sus ojos,2009,"['rape', 'police', 'kidnapping', 'homicide', 'writing', 'investigation', 'partner', 'murder', 'tension', 'argentina', 'justice', 'legal drama', 'secret', 'cine argentino']",2009-08-13,R
Warrior,2011,"['bank', 'training', 'beating', 'mixed martial arts (mma)', 'teacher', 'muscleman', 'combat', 'alcoholic', 'gym', 'exercise', 'pittsburgh, pennsylvania', 'intense', 'complicated', 'familiar']",2011-09-09,PG-13
Shutter Island,2010,"['island', 'based on novel or book', 'hurricane', 'investigation', 'u.s. marshal', 'conspiracy theory', 'psychiatric hospital', 'psychological thriller', 'whodunit', 'neo-noir', '1950s', 'dreary', 'baffled']",2010-02-13,R
